Time (UNIX),Temperature (c),Relative Humidity (%)
"1366798045","16.70","68.00"
"1366798050","16.80","67.00"
"1366798056","16.90","62.30"
"1366798061","16.90","59.40"
"1366798067","17.00","57.90"
"1366798072","17.10","57.10"
"1366798078","17.10","56.50"
"1366798083","17.20","56.00"
"1366798089","17.20","55.50"
"1366798095","17.30","55.30"
"1366798100","17.20","54.90"
"1366798106","17.20","54.80"
"1366798111","17.30","54.70"
"1366798117","17.30","54.50"
"1366798122","17.30","55.10"
"1366798128","17.40","54.70"
"1366798133","17.40","54.50"
"1366798139","17.40","54.30"
"1366798144","17.50","54.10"
"1366798150","17.50","53.90"
"1366798156","17.50","53.80"
"1366798161","17.50","53.70"
"1366798167","17.50","53.60"
"1366798172","17.60","53.50"
"1366798178","17.60","53.50"
"1366798183","17.60","53.40"
"1366798189","17.60","53.30"
"1366798194","17.60","53.30"
"1366798200","17.60","53.20"
"1366798206","17.60","53.00"
"1366798211","17.60","53.00"
"1366798217","17.60","52.90"
"1366798222","17.70","52.90"
"1366798228","17.70","52.80"
"1366798233","17.70","52.80"
"1366798239","17.70","52.70"
"1366798244","17.70","52.70"
"1366798250","17.80","52.60"
"1366798256","17.80","52.60"
"1366798261","17.80","52.60"
"1366798267","17.80","52.60"
"1366798272","17.80","52.60"
"1366798278","17.80","52.60"
"1366798283","17.80","52.50"
"1366798289","17.80","52.50"
"1366798294","17.80","52.40"
"1366798300","17.90","52.50"
"1366798306","17.90","52.50"
"1366798311","17.90","52.50"
"1366798317","17.90","52.50"
"1366798322","17.90","52.50"
"1366798328","17.90","52.50"
"1366798333","17.90","52.50"
"1366798339","17.90","52.50"
"1366798344","18.00","52.40"
"1366798350","17.90","52.40"
"1366798355","18.00","52.30"
"1366798361","18.00","52.30"
"1366798367","18.00","52.20"
"1366798372","18.00","52.10"
"1366798378","18.00","52.10"
"1366798383","18.00","52.10"
"1366798389","18.00","52.10"
"1366798394","18.10","52.10"
"1366798400","18.10","52.10"
"1366798405","18.10","52.00"
"1366798411","18.10","52.00"
"1366798417","18.10","52.00"
"1366798422","18.10","52.00"
"1366798428","18.10","52.00"
"1366798433","18.10","51.90"
"1366798439","18.10","52.00"
"1366798444","18.20","52.00"
"1366798450","18.20","51.90"
"1366798455","18.20","51.90"
"1366798461","18.20","51.90"
"1366798467","18.20","52.00"
"1366798472","18.30","52.00"
"1366798478","18.20","51.90"
"1366798483","18.30","52.00"
"1366798489","18.30","51.90"
"1366798496","18.30","51.80"
"1366798502","18.40","51.70"
"1366798507","18.40","51.80"
"1366798513","18.40","51.90"
"1366798518","18.40","51.90"
"1366798524","18.40","51.90"
"1366798530","18.40","51.90"
"1366798535","18.50","51.70"
"1366798541","18.50","51.60"
"1366798546","18.50","51.50"
"1366798552","18.50","51.50"
"1366798557","18.60","51.50"
"1366798563","18.60","51.50"
"1366798568","18.60","51.40"
"1366798574","18.60","51.50"
"1366798580","18.60","51.70"
"1366798585","18.70","51.80"
"1366798591","18.70","51.80"
"1366798596","18.70","51.70"
"1366798602","18.70","51.50"
"1366798615","18.70","51.40"
"1366798617","18.80","51.20"
"1366798623","18.70","51.10"
"1366798628","18.80","51.10"
"1366798634","18.80","51.10"
"1366798673","19.10","55.90"
"1366798679","19.10","57.60"
"1366798685","19.20","55.10"
"1366798690","19.20","53.00"
"1366798696","19.30","51.90"
"1366798701","19.20","51.40"
"1366798707","19.30","51.10"
"1366798712","19.30","50.80"
"1366798718","19.30","50.70"
"1366798723","19.40","50.50"
"1366798726","19.40","50.30"
"1366798732","19.40","50.30"
"1366798738","19.40","52.70"
"1366798743","19.40","53.20"
"1366798749","19.50","51.90"
"1366798754","19.50","51.10"
"1366798760","19.50","50.50"
"1366798765","19.50","50.30"
"1366798771","19.50","50.20"
"1366798776","19.50","50.20"
"1366798782","19.50","50.10"
"1366798788","19.60","50.10"
"1366798793","19.50","50.00"
"1366798799","19.60","50.00"
"1366798804","19.50","50.00"
"1366798810","19.50","50.00"
"1366798815","19.50","49.90"
"1366798821","19.60","49.80"
"1366798826","19.50","49.80"
"1366798832","19.50","49.90"
"1366798838","19.60","49.80"
"1366798843","19.50","49.80"
"1366798849","19.60","49.70"
"1366798854","19.50","49.80"
"1366798860","19.50","49.80"
"1366798866","19.60","49.80"
"1366798871","19.60","49.80"
"1366798877","19.60","49.80"
"1366798882","19.60","49.80"
"1366798888","19.60","49.80"
"1366798893","19.60","49.70"
"1366798899","19.60","49.70"
"1366798904","19.60","49.70"
"1366798910","19.50","49.70"
"1366798916","19.60","49.70"
"1366798921","19.60","49.70"
"1366798927","19.60","49.70"
"1366798932","19.60","49.70"
"1366798938","19.60","49.70"
"1366798943","19.60","49.70"
"1366798949","19.60","49.70"
"1366798954","19.60","49.60"
"1366798960","19.60","49.60"
"1366798965","19.60","49.60"
"1366798971","19.60","49.60"
"1366798977","19.60","49.60"
"1366798982","19.60","49.60"
"1366798988","19.60","49.70"
"1366798993","19.60","49.70"
"1366798999","19.60","49.70"
"1366799004","19.60","49.60"
"1366799010","19.60","49.60"
"1366799015","19.60","49.70"
"1366799021","19.60","49.70"
"1366799027","19.60","49.70"
"1366799032","19.60","49.70"
"1366799038","19.60","49.70"
"1366799043","19.60","49.70"
"1366799049","19.60","49.70"
"1366799054","19.60","49.70"
"1366799060","19.60","49.70"
"1366799065","19.60","49.70"
"1366799071","19.60","49.70"
"1366799077","19.60","49.70"
"1366799082","19.60","49.70"
"1366799088","19.60","49.60"
"1366799093","19.70","49.70"
"1366799099","19.60","49.60"
"1366799104","19.70","49.70"
"1366799110","19.70","49.70"
"1366799115","19.70","49.70"
"1366799121","19.70","49.70"
"1366799127","19.70","49.80"
"1366799132","19.70","49.80"
"1366799138","19.70","49.80"
"1366799143","19.70","49.80"
"1366799149","19.70","49.80"
"1366799154","19.70","49.80"
"1366799160","19.70","49.70"
"1366799165","19.70","49.70"
"1366799171","19.70","49.70"
"1366799177","19.70","49.70"
